Price,City,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,Listing Agent,Status,Zipcode_encoded,MLS ID
554217,3,0,1,3,772,4757,1959,101,4,0,0,554217.0,104635
164454,0,2,1,1,2348,3615,1969,46,0,1,2,164454.0,535721
1249331,2,4,6,1,3630,9369,1990,59,4,4,0,1249331.0,900458
189267,0,4,2,1,605,8804,1958,119,0,3,1,189267.0,318589
465778,1,0,3,2,1711,9260,2020,26,4,3,1,465778.0,899716
738357,2,3,5,3,1177,8317,2015,35,2,2,1,738357.0,865468
1325395,2,3,6,1,1990,5592,2012,94,4,0,1,1325395.0,689873
1158003,3,2,2,2,1008,6010,1975,75,4,3,0,1158003.0,329631
240095,4,1,6,2,929,5449,1975,79,4,3,1,240095.0,839936
1356448,3,3,2,3,2094,2179,1970,111,2,3,1,1356448.0,264011
678604,3,1,3,3,2350,3341,2013,25,2,3,1,678604.0,298501
1264926,0,0,3,1,2407,2609,1989,79,0,1,2,1264926.0,282442
645962,1,0,4,3,2746,8256,2008,11,1,1,1,645962.0,855977
575637,2,3,1,4,3387,1740,1966,97,1,2,1,575637.0,166677
507793,0,0,5,4,3480,2022,2007,66,2,1,2,507793.0,751795
1171629,2,4,2,4,2351,2275,2007,46,1,0,0,1171629.0,325594
698570,2,0,3,2,722,6443,1953,72,0,4,2,698570.0,502987
534688,4,4,3,1,2356,3883,1958,114,4,3,1,534688.0,726231
1108288,1,3,6,3,1156,1218,1958,28,1,1,2,1108288.0,302684
1173697,1,4,2,4,1554,9408,1982,1,2,4,1,1173697.0,879412
980716,1,2,2,2,982,7527,1983,58,2,2,2,980716.0,433130
527238,1,3,4,4,3164,9694,1955,33,1,2,1,527238.0,835234
1469257,0,2,5,3,635,1130,1990,42,2,1,1,1469257.0,310222
1381949,4,4,4,4,2966,2421,1997,38,3,1,2,1381949.0,166756
898597,2,1,6,3,3814,2093,1957,71,1,2,2,898597.0,574837
1335481,1,2,2,4,1583,6306,1979,30,0,0,0,1335481.0,227123
1444036,3,0,6,3,743,8853,2018,50,4,3,2,1444036.0,964910
831525,2,0,4,3,1165,3128,1954,57,4,0,0,831525.0,275900
911317,1,3,3,2,908,1492,1963,42,0,1,2,911317.0,313548
858386,4,1,2,2,1475,1926,1983,102,2,1,2,858386.0,747104
705506,2,0,6,1,3892,4133,1985,113,4,2,1,705506.0,131077
1461297,3,3,1,3,3156,2935,1961,61,0,2,2,1461297.0,713668
630339,3,2,1,4,1752,3040,1993,61,3,4,0,630339.0,221816
268142,1,0,6,4,3778,3988,2012,8,3,2,0,268142.0,231590
1250016,4,3,3,4,3551,1230,1961,58,2,2,0,1250016.0,326594
1231600,3,0,1,3,3640,9593,2008,108,3,4,2,1231600.0,651394
1073723,3,3,6,1,1396,7815,1989,88,0,3,0,1073723.0,163650
1353530,1,1,2,4,3442,3651,1952,108,2,0,1,1353530.0,669827
272592,3,0,3,3,3641,9671,1988,115,4,4,0,272592.0,730220
1401287,1,3,5,4,824,5426,2008,64,0,3,0,1401287.0,599881
255138,3,1,4,4,3704,2027,1960,84,1,2,0,255138.0,483947
235690,4,1,4,2,3150,8121,1968,60,4,0,0,235690.0,136454
1286157,3,0,2,1,1130,9652,2008,15,0,1,1,1286157.0,337688
1197675,2,0,4,1,2418,4843,1978,103,0,2,0,1197675.0,830009
130113,3,2,6,1,641,6571,1998,23,2,3,1,130113.0,946321
327247,4,1,6,4,692,8938,1996,90,1,0,1,327247.0,966437
1253172,2,3,2,2,1718,4766,1993,95,4,4,0,1253172.0,939241
947261,3,0,3,1,1515,1817,2013,3,1,4,2,947261.0,390811
928085,2,1,2,3,3201,6981,2014,63,2,4,1,928085.0,300717
1075059,0,0,4,2,806,5870,1990,22,0,1,1,1075059.0,980388
704012,4,4,2,2,2192,2491,2022,82,2,0,0,704012.0,133221
894851,1,3,1,1,2983,6389,1975,89,3,4,0,894851.0,145933
1062706,3,1,2,4,1143,3561,2006,28,2,2,1,1062706.0,362904
1293272,3,4,1,3,1004,4822,1982,28,0,4,1,1293272.0,764655
121941,3,2,4,1,1266,6554,1961,45,4,3,0,121941.0,140940
1054157,1,0,3,2,3080,2905,1981,2,0,3,0,1054157.0,995727
1064596,4,1,5,1,2383,7954,1995,73,1,3,2,1064596.0,348439
1301207,2,4,5,4,659,9317,1985,46,3,2,0,1301207.0,524275
1429718,4,1,1,4,3082,4211,1974,55,3,3,0,1429718.0,390055
570284,2,0,1,1,2654,1426,1990,57,1,2,2,570284.0,262315
136498,1,0,5,4,3410,4595,1988,71,4,0,1,136498.0,855466
1118129,3,0,4,1,3593,8559,2006,51,3,2,1,1118129.0,679889
348881,1,3,5,1,3368,1942,1954,81,2,2,1,348881.0,742779
1224280,3,0,3,3,1071,3640,1965,95,1,3,0,1224280.0,816201
435555,1,1,2,2,2403,8914,1955,18,1,2,1,435555.0,524082
1142134,1,3,2,3,3515,6385,2018,49,2,0,1,1142134.0,448583
929862,2,3,3,1,1640,2571,1950,58,2,3,2,929862.0,235580
557894,0,2,5,1,2551,3014,2006,76,4,4,2,557894.0,989654
282593,4,4,6,2,2153,6999,1977,31,3,0,2,282593.0,620042
390371,2,3,5,4,3539,9313,1985,47,2,1,1,390371.0,449768
1103898,2,4,2,1,1088,4186,1983,58,2,3,2,1103898.0,738821
324492,0,1,2,1,3618,4317,1998,116,0,0,2,324492.0,328126
442170,4,0,6,4,1647,6299,2008,52,0,2,2,442170.0,193241
1081035,1,3,5,4,2892,8833,2002,52,2,4,0,1081035.0,142018
249975,0,4,5,1,2625,5667,1968,96,4,1,2,249975.0,997581
754480,3,2,1,4,2042,4863,1958,120,2,0,1,754480.0,763768
362957,1,2,5,2,3482,1702,2011,92,0,2,2,362957.0,869944
1387573,3,2,3,4,1949,5913,1975,84,3,0,1,1387573.0,148977
1257567,0,2,2,1,3887,8829,1957,43,1,0,2,1257567.0,842773
1217931,3,2,1,3,2977,3400,2004,62,2,0,0,1217931.0,318081
1369617,3,1,4,3,2199,3140,1974,64,0,0,1,1369617.0,397159
1367380,1,1,6,2,2960,8344,2011,33,2,4,2,1367380.0,977398
653513,4,0,3,2,862,6303,1972,64,2,2,1,653513.0,684717
1052313,2,2,1,4,2552,4272,1998,81,3,2,2,1052313.0,233641
1402065,0,3,6,1,3504,3470,1952,45,4,0,2,1402065.0,290319
258025,2,4,2,2,2930,9853,1993,8,2,4,2,258025.0,231870
1346411,4,1,1,1,2849,8155,1952,104,1,1,2,1346411.0,682312
765276,0,4,5,2,2415,6387,1950,50,3,1,1,765276.0,339506
1478929,1,3,1,2,3351,1858,1962,102,1,1,2,1478929.0,394602
616741,0,1,2,1,1258,2818,1966,73,0,4,1,616741.0,234529
1089190,4,0,4,1,787,5227,1999,119,3,1,0,1247629.5,164322
